"INSTNM","unitid","cipcode","majornum","year","americanIndianTotal","asianTotal","blackTotal","hispanicTotal","whiteTotal","unknownTotal","nonresTotal","total","LONGITUD","LATITUDE","cip2Code","majorField"
"California Institute of Technology",110404,11.0101,1,2003,0,1,0,0,1,0,1,3,"-118.125740","34.139275","11","stem"
"California Institute of Technology",110404,14.0201,1,2003,0,0,0,0,1,0,6,7,"-118.125740","34.139275","14","stem"
"California Institute of Technology",110404,14.0701,1,2003,0,0,0,0,3,0,1,4,"-118.125740","34.139275","14","stem"
"California Institute of Technology",110404,14.0801,1,2003,0,0,0,1,1,0,0,2,"-118.125740","34.139275","14","stem"
"California Institute of Technology",110404,14.1001,1,2003,0,1,0,0,2,0,11,14,"-118.125740","34.139275","14","stem"
"California Institute of Technology",110404,14.1401,1,2003,0,1,0,0,0,0,1,2,"-118.125740","34.139275","14","stem"
"California Institute of Technology",110404,14.1901,1,2003,0,0,0,0,3,0,4,7,"-118.125740","34.139275","14","stem"
"California Institute of Technology",110404,14.3101,1,2003,0,0,0,0,3,0,1,4,"-118.125740","34.139275","14","stem"
"California Institute of Technology",110404,14.9999,1,2003,0,0,0,1,1,0,1,3,"-118.125740","34.139275","14","stem"
"California Institute of Technology",110404,26.0101,1,2003,0,1,0,1,2,0,1,5,"-118.125740","34.139275","26","stem"
"California Institute of Technology",110404,26.0202,1,2003,0,0,0,0,3,0,2,5,"-118.125740","34.139275","26","stem"
"California Institute of Technology",110404,27.0101,1,2003,0,0,0,0,0,0,3,3,"-118.125740","34.139275","27","stem"
"California Institute of Technology",110404,27.0301,1,2003,0,0,0,0,4,0,2,6,"-118.125740","34.139275","27","stem"
"California Institute of Technology",110404,30.2401,1,2003,0,1,0,0,0,0,0,1,"-118.125740","34.139275","30","humanities"
"California Institute of Technology",110404,40.0201,1,2003,0,0,0,0,2,0,0,2,"-118.125740","34.139275","40","stem"
"California Institute of Technology",110404,40.0501,1,2003,0,4,0,1,18,0,7,30,"-118.125740","34.139275","40","stem"
"California Institute of Technology",110404,40.0601,1,2003,0,0,0,0,4,0,4,8,"-118.125740","34.139275","40","stem"
"California Institute of Technology",110404,40.0602,1,2003,0,0,0,0,1,0,0,1,"-118.125740","34.139275","40","stem"
"California Institute of Technology",110404,40.0603,1,2003,0,0,0,0,1,0,1,2,"-118.125740","34.139275","40","stem"
"California Institute of Technology",110404,40.0801,1,2003,0,5,0,0,6,0,7,18,"-118.125740","34.139275","40","stem"
"California Institute of Technology",110404,40.0899,1,2003,0,1,0,0,1,0,2,4,"-118.125740","34.139275","40","stem"
"California Institute of Technology",110404,45.0101,1,2003,0,0,0,2,3,0,1,6,"-118.125740","34.139275","45","social sciences"
"University of Southern California",123961,4.0301,1,2003,0,2,0,0,0,0,7,9,"-118.283858","34.021058","4","stem"
"University of Southern California",123961,9.0101,1,2003,0,3,0,0,4,0,2,9,"-118.283858","34.021058","9","social sciences"
"University of Southern California",123961,11.0101,1,2003,0,2,0,0,2,0,17,21,"-118.283858","34.021058","11","stem"
"University of Southern California",123961,13.0101,1,2003,0,6,6,14,40,3,3,72,"-118.283858","34.021058","13","social sciences"
"University of Southern California",123961,13.0301,1,2003,0,2,1,2,2,0,2,9,"-118.283858","34.021058","13","social sciences"
"University of Southern California",123961,13.1101,1,2003,0,3,0,0,7,0,0,10,"-118.283858","34.021058","13","social sciences"
"University of Southern California",123961,13.1312,1,2003,0,0,0,0,1,0,0,1,"-118.283858","34.021058","13","social sciences"
"University of Southern California",123961,14.0201,1,2003,0,0,0,1,0,0,2,3,"-118.283858","34.021058","14","stem"
"University of Southern California",123961,14.0501,1,2003,0,0,0,0,0,0,5,5,"-118.283858","34.021058","14","stem"
"University of Southern California",123961,14.0701,1,2003,0,0,0,0,0,0,3,3,"-118.283858","34.021058","14","stem"
"University of Southern California",123961,14.0801,1,2003,0,0,0,1,4,0,6,11,"-118.283858","34.021058","14","stem"
"University of Southern California",123961,14.0899,1,2003,0,0,0,0,1,0,5,6,"-118.283858","34.021058","14","stem"
"University of Southern California",123961,14.0901,1,2003,0,0,0,0,0,0,5,5,"-118.283858","34.021058","14","stem"
"University of Southern California",123961,14.1001,1,2003,0,0,0,1,3,0,40,44,"-118.283858","34.021058","14","stem"
"University of Southern California",123961,14.1901,1,2003,0,1,0,0,1,0,6,8,"-118.283858","34.021058","14","stem"
"University of Southern California",123961,14.2501,1,2003,0,0,0,0,0,0,1,1,"-118.283858","34.021058","14","stem"
"University of Southern California",123961,14.3101,1,2003,0,0,0,0,0,0,3,3,"-118.283858","34.021058","14","stem"
"University of Southern California",123961,14.3501,1,2003,0,1,0,0,0,0,1,2,"-118.283858","34.021058","14","stem"
"University of Southern California",123961,16.0102,1,2003,0,0,0,0,3,0,5,8,"-118.283858","34.021058","16","humanities"
"University of Southern California",123961,16.0104,1,2003,0,0,0,0,1,0,0,1,"-118.283858","34.021058","16","humanities"
"University of Southern California",123961,16.0399,1,2003,0,0,0,0,0,0,1,1,"-118.283858","34.021058","16","humanities"
"University of Southern California",123961,16.04,1,2003,0,0,0,0,1,1,1,3,"-118.283858","34.021058","16","humanities"
"University of Southern California",123961,16.0501,1,2003,0,0,0,0,1,0,1,2,"-118.283858","34.021058","16","humanities"
"University of Southern California",123961,16.0901,1,2003,0,0,0,0,0,0,1,1,"-118.283858","34.021058","16","humanities"
"University of Southern California",123961,16.0905,1,2003,0,0,0,2,0,0,4,6,"-118.283858","34.021058","16","humanities"
"University of Southern California",123961,23.0101,1,2003,0,0,0,0,4,1,1,6,"-118.283858","34.021058","23","humanities"
"University of Southern California",123961,26.0101,1,2003,0,0,0,0,1,0,2,3,"-118.283858","34.021058","26","stem"
"University of Southern California",123961,26.0204,1,2003,0,0,0,0,1,0,4,5,"-118.283858","34.021058","26","stem"
"University of Southern California",123961,26.021,1,2003,0,1,0,1,3,1,11,17,"-118.283858","34.021058","26","stem"
"University of Southern California",123961,26.0406,1,2003,0,0,0,0,1,0,0,1,"-118.283858","34.021058","26","stem"
"University of Southern California",123961,26.0502,1,2003,0,1,0,0,1,0,5,7,"-118.283858","34.021058","26","stem"
"University of Southern California",123961,26.0901,1,2003,0,1,0,0,1,0,2,4,"-118.283858","34.021058","26","stem"
"University of Southern California",123961,26.091,1,2003,0,1,0,0,0,0,5,6,"-118.283858","34.021058","26","stem"
"University of Southern California",123961,26.1005,1,2003,0,1,0,0,0,0,1,2,"-118.283858","34.021058","26","stem"
"University of Southern California",123961,26.1102,1,2003,0,0,0,0,1,0,2,3,"-118.283858","34.021058","26","stem"
"University of Southern California",123961,26.1309,1,2003,0,1,0,0,2,0,0,3,"-118.283858","34.021058","26","stem"
"University of Southern California",123961,27.0301,1,2003,0,0,0,0,1,0,4,5,"-118.283858","34.021058","27","stem"
"University of Southern California",123961,30.1101,1,2003,0,0,0,0,1,0,0,1,"-118.283858","34.021058","30","humanities"
"University of Southern California",123961,30.2401,1,2003,0,0,0,0,1,0,1,2,"-118.283858","34.021058","30","humanities"
"University of Southern California",123961,31.0505,1,2003,0,2,0,0,0,0,1,3,"-118.283858","34.021058","31","humanities"
"University of Southern California",123961,38.0101,1,2003,0,1,0,0,0,0,0,1,"-118.283858","34.021058","38","humanities"
"University of Southern California",123961,38.0201,1,2003,0,1,0,1,1,1,0,4,"-118.283858","34.021058","38","humanities"
"University of Southern California",123961,40.0501,1,2003,0,0,0,0,5,2,9,16,"-118.283858","34.021058","40","stem"
"University of Southern California",123961,40.0601,1,2003,0,0,0,0,2,0,0,2,"-118.283858","34.021058","40","stem"
"University of Southern California",123961,40.0801,1,2003,0,0,0,0,0,0,2,2,"-118.283858","34.021058","40","stem"
"University of Southern California",123961,42.0101,1,2003,1,2,3,2,6,0,2,16,"-118.283858","34.021058","42","social sciences"
"University of Southern California",123961,44.0401,1,2003,0,3,4,1,14,0,5,27,"-118.283858","34.021058","44","humanities"
"University of Southern California",123961,44.0501,1,2003,0,0,0,0,1,0,4,5,"-118.283858","34.021058","44","humanities"
"University of Southern California",123961,44.0701,1,2003,0,0,0,1,2,0,1,4,"-118.283858","34.021058","44","humanities"
"University of Southern California",123961,45.0601,1,2003,0,3,0,1,1,0,6,11,"-118.283858","34.021058","45","social sciences"
"University of Southern California",123961,45.0701,1,2003,0,1,0,0,1,0,0,2,"-118.283858","34.021058","45","social sciences"
"University of Southern California",123961,45.0901,1,2003,0,1,0,0,1,0,1,3,"-118.283858","34.021058","45","social sciences"
"University of Southern California",123961,45.1001,1,2003,0,1,2,0,1,0,1,5,"-118.283858","34.021058","45","social sciences"
"University of Southern California",123961,45.1101,1,2003,0,0,1,1,4,0,0,6,"-118.283858","34.021058","45","social sciences"
"University of Southern California",123961,50.0601,1,2003,0,1,0,0,2,0,1,4,"-118.283858","34.021058","50","humanities"
"University of Southern California",123961,50.0704,1,2003,0,0,0,0,5,0,0,5,"-118.283858","34.021058","50","humanities"
"University of Southern California",123961,50.0902,1,2003,0,0,0,0,1,0,0,1,"-118.283858","34.021058","50","humanities"
"University of Southern California",123961,50.0903,1,2003,0,1,0,1,11,1,1,15,"-118.283858","34.021058","50","humanities"
"University of Southern California",123961,50.091,1,2003,0,0,1,0,1,0,0,2,"-118.283858","34.021058","50","humanities"
"University of Southern California",123961,51.0599,1,2003,0,2,0,0,0,0,1,3,"-118.283858","34.021058","51","humanities"
"University of Southern California",123961,51.2004,1,2003,0,1,0,0,1,0,4,6,"-118.283858","34.021058","51","humanities"
"University of Southern California",123961,51.2007,1,2003,0,0,0,0,1,0,0,1,"-118.283858","34.021058","51","humanities"
